iter	Passed	Remaining
0	1668	3335137
1	2933	2930187
2	3945	2626101
3	4539	2264961
4	5169	2062674
5	5803	1928819
6	6557	1867105
7	7241	1803140
8	7993	1768346
9	8647	1720902
10	9637	1742546
11	10500	1739533
12	11445	1749343
13	12467	1768667
14	13425	1776657
15	14108	1749435
16	14802	1726643
17	15360	1691353
18	15985	1666742
19	16997	1682710
20	17896	1686487
21	18725	1683632
22	19407	1668176
23	20526	1690050
24	22258	1758422
25	23605	1792196
26	24871	1817454
27	25775	1815360
28	26690	1814001
29	27666	1816759
30	28631	1818586
31	29716	1827575
32	30962	1845569
33	32124	1857541
34	33109	1858855
35	34029	1856516
36	34809	1846804
37	35523	1834111
38	36175	1818994
39	36957	1810927
40	37631	1798042
41	38636	1801187
42	39341	1790478
43	40224	1788152
44	41922	1821278
45	43338	1840923
46	44375	1843945
47	45484	1849717
48	46730	1860642
49	47813	1864741
50	49156	1878555
51	50507	1892081
52	51125	1878140
53	51854	1868665
54	52598	1860071
55	53368	1852647
56	53950	1839033
57	54636	1829378
58	55217	1816574
59	55913	1807866
60	56492	1795714
61	57012	1782085
62	57536	1769032
63	58093	1757338
64	58743	1748750
65	59295	1737535
66	60015	1731477
67	60687	1724244
68	61217	1713192
69	61795	1703796
70	62466	1697153
71	63275	1694369
72	64193	1694536
73	64816	1686986
74	65350	1677325
75	65909	1668551
76	66487	1660454
77	67073	1652753
78	67594	1643669
79	68194	1636678
80	68767	1629202
81	69267	1620193
82	69844	1613158
83	70355	1604786
84	70870	1596663
85	71371	1588425
86	71927	1581583
87	72597	1577345
88	73440	1576917
89	74913	1589826
90	75473	1583280
91	76116	1578590
92	76726	1573313
93	77215	1565659
94	77718	1558469
95	78244	1551857
96	78752	1545006
97	79163	1536411
98	79724	1530874
99	80440	1528362
100	81090	1524670
101	81996	1525772
102	82976	1528210
103	83795	1527656
104	84712	1528861
105	85499	1527699
106	86174	1524567
107	86738	1519524
108	87254	1513748
109	87881	1509970
110	88337	1503336
111	88887	1498388
112	89438	1493538
113	89887	1487082
114	90435	1482348
115	91083	1479318
116	91634	1474762
117	92194	1470423
118	92790	1466713
119	93430	1463743
120	94234	1463358
121	95018	1462660
122	95987	1464781
123	96877	1465659
124	97633	1464506
125	98330	1462477
126	98990	1459915
127	99571	1456228
128	100434	1456687
129	100938	1451961
130	101558	1448950
131	102128	1445272
132	102643	1440867
133	103207	1437199
134	103909	1435492
135	104614	1433828
136	105506	1434735
137	106113	1431760
138	106723	1428860
139	107247	1424859
140	107875	1422278
141	108359	1417825
142	108861	1413679
143	109374	1409709
144	109860	1405461
145	110448	1402550
146	111060	1399963
147	111768	1398614
148	112416	1396534
149	112970	1393305
150	113463	1389361
151	114036	1386444
152	114607	1383534
153	115229	1381257
154	116027	1381105
155	116632	1378657
156	117131	1374993
157	117654	1371646
158	118393	1370830
159	118956	1368003
160	119451	1364422
161	119930	1360694
162	120458	1357558
163	121124	1356007
164	121592	1352256
165	122082	1348789
166	122529	1344890
167	122979	1341062
168	123421	1337183
169	123856	1333279
170	124288	1329381
171	124832	1326712
172	125433	1324667
173	126019	1322475
174	126573	1319980
175	127006	1316253
176	127478	1312959
177	127885	1309029
178	128495	1307208
179	128962	1303955
180	129449	1300927
181	129937	1297948
182	130398	1294725
183	130906	1291985
184	131404	1289181
185	131925	1286627
186	132423	1283872
187	132925	1281172
188	133472	1278938
189	133991	1276448
190	134679	1275574
191	135321	1274275
192	136121	1274468
193	136774	1273276
194	137504	1272798
195	138135	1271413
196	138816	1270486
197	139394	1268627
198	139936	1266458
199	140467	1264210
200	141080	1262707
201	141667	1260982
202	142297	1259652
203	143027	1259201
204	143620	1257551
205	144100	1254931
206	144572	1252259
207	145097	1250067
208	145653	1248162
209	146137	1245644
